selective_id,selective_code,study_count,study_ids,axial_count,axial_ids,axial_codes,open_code_count
M1,Value & Policy Optimization Methods,10,3; 8; 11; 25; 36; 42; 44; 57; 62; 63,4,A1.1; A1.2; A1.3; A1.4,Value-based reinforcement learning; Direct policy optimization; Multi-agent and distributed RL architectures; Metaheuristic and numerical optimization,29
M2,Hybrid Actor-Critic Methods,4,1; 4; 12; 40,5,A2.1; A2.2; A2.3; A2.4; A2.5,Canonical actor-critic; Asynchronous and parallel actor-critic; Deterministic continuous-control actor-critic; Constrained-update policy-gradient hybrids; Pre-trained and bootstrapped hybrids,6
M3,Fixed & Adaptive Rule Systems,42,2; 3; 6; 7; 9; 11; 13; 14; 16; 18; 20; 21; 22; 23; 26; 28; 29; 32; 34; 35; 38; 40; 41; 43; 45; 46; 47; 48; 49; 50; 51; 53; 54; 55; 56; 57; 59; 61; 64; 65; 66; 67,5,A3.1; A3.2; A3.3; A3.4; A3.5,"Fixed heuristic trading and pricing rules; Threshold- and constraint-triggered rules; Adaptive, performance-contingent rule revision; Strategy switching between rule sets; Bounded-rational and behavioural heuristics",42
M4,Cognitive Models,1,15,1,A4.1,BDI and explicit mental-state architectures,1
M5,Imitative & Social Learning Models,6,10; 18; 22; 30; 37; 49,4,A5.1; A5.2; A5.3; A5.4,Direct imitation and herding; Word-of-mouth and network diffusion; Contagion and epidemic-style state diffusion; Similarity-based algorithmic social learning,9
M6,Utility & Probabilistic Choice Models,15,5; 10; 17; 19; 21; 22; 23; 31; 33; 39; 42; 58; 59; 61; 64,4,A6.1; A6.2; A6.3; A6.4,Random utility and discrete choice; Multi-attribute and multi-criteria evaluation; Probabilistic belief updating; Risk and expected-value valuation criteria,12
M7,Non-Cooperative Game Models,8,2; 43; 52; 53; 60; 61; 66; 67,4,A7.1; A7.2; A7.3; A7.4,Equilibrium concepts as solution criteria; Best-response and equilibrium learning; Competitive bidding as a strategic game; Bargaining and alternating-offer games,10
M8,Evolutionary Game Models,1,45,1,A8.1,Replicator and population dynamics,2
M9,Supervised & Predictive Learning Models,9,17; 19; 20; 23; 33; 41; 46; 48; 55,4,A9.1; A9.2; A9.3; A9.4,Supervised function approximation; Bayesian and probabilistic prediction; Regression and econometric estimation; Calibration and parameter estimation from data,11
M10,Representation Learning & Deep Imitation Learning,1,24,1,A10.1,Generative-adversarial imitation of market data,3
E,Market Mechanism & Environment Codes (outside M1-M10),,,4,E1; E2; E3; E4,Auction and clearing mechanism; Order book and order-type microstructure; Hybrid simulation architecture; Domain-specific trading institution,7
