axial_id,axial_code,selective_id,selective_code,open_code_count,open_codes,studies_exhibiting_count,studies_exhibiting
A1.1,Value-based reinforcement learning,M1,Value & Policy Optimization Methods,3,DQN/DDQN; Q-learning; Reinforcement Learning (unspecified),8,2; 4; 11; 12; 25; 44; 57; 63
A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,9,Continuous Action Space; Deep RL; Intervention Selection; Optimal Execution; Order Splitting; Policy Gradient; Policy Iteration; Policy Network; Stabilization,7,3; 4; 12; 40; 44; 66; 67
A1.3,Multi-agent and distributed RL architectures,M1,Value & Policy Optimization Methods,2,Distributed Optimization; Multi-agent RL (MARL),3,2; 11; 67
A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,15,Genetic Algorithm (GA); Hill Climbing; Investment Optimization; Latency Optimization; Micro-level Optimization; Monte Carlo; Multi-objective Decision; Multi-scale Optimization; OCBA; Portfolio Optimization; Price Stabilization; Price-Density Optimization; Profit Maximization; Simulated Annealing; Spatial Optimization,14,7; 8; 15; 23; 36; 39; 42; 43; 48; 56; 58; 59; 62; 63
A2.1,Canonical actor-critic,M2,Hybrid Actor-Critic Methods,1,Actor-Critic,2,1; 4
A2.2,Asynchronous and parallel actor-critic,M2,Hybrid Actor-Critic Methods,1,A3C/A2C/IAsync,2,2; 44
A2.3,Deterministic continuous-control actor-critic,M2,Hybrid Actor-Critic Methods,2,Continuous Concession; DDPG,2,1; 40
A2.4,Constrained-update policy-gradient hybrids,M2,Hybrid Actor-Critic Methods,1,PPO,2,12; 66
A2.5,Pre-trained and bootstrapped hybrids,M2,Hybrid Actor-Critic Methods,1,Supervised Learning (pre-training),1,1
A3.1,Fixed heuristic trading and pricing rules,M3,Fixed & Adaptive Rule Systems,17,Bid-Ask Formation; Business Rules; Empirical Decision; FCN (fundamental-chartist-noise); Fundamental Analysis; Fundamentalist/Chartist; Heuristic Pricing; Heuristic Trading; Indicator-based; Market Making; Microeconomic Rules; Rule-based Trading; Spatial Decision Rules; Technical Trading; Trade Acceptance; Trend-following; Volatility-adjusted Quoting,15,3; 6; 7; 9; 11; 13; 16; 26; 32; 34; 48; 49; 55; 56; 59
A3.2,Threshold- and constraint-triggered rules,M3,Fixed & Adaptive Rule Systems,11,Collateral Valuation; Credit Condition; Credit Constraints; Credit-responsive; Cycle-phase; LTV/LTI Compliance; Leverage-based Rules; Policy-responsive; Risk Propagation; Satisfaction Threshold; Threshold Adoption,7,18; 21; 26; 46; 47; 50; 51
