open_code,study_ids,study_count,axial_id,axial_code,selective_id,selective_code,note
DQN/DDQN,2,1,A1.1,Value-based reinforcement learning,M1,Value & Policy Optimization Methods,"MOVED from M10: deep net is the approximator, objective is value-based."
Q-learning,4; 44; 63,3,A1.1,Value-based reinforcement learning,M1,Value & Policy Optimization Methods,
Reinforcement Learning (unspecified),11; 12; 25; 57; 63,5,A1.1,Value-based reinforcement learning,M1,Value & Policy Optimization Methods,Algorithm family unspecified in source.
Continuous Action Space,40; 66,2,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,
Deep RL,3,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,MOVED from M10.
Intervention Selection,12,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,Policy-lever action set.
Optimal Execution,44,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,RL task formulation.
Order Splitting,44,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,Action decomposition.
Policy Gradient,67,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,
Policy Iteration,4,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,
Policy Network,3,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,MOVED from M10.
Stabilization,12,1,A1.2,Direct policy optimization,M1,Value & Policy Optimization Methods,Reward-shaping objective.
Distributed Optimization,67,1,A1.3,Multi-agent and distributed RL architectures,M1,Value & Policy Optimization Methods,
Multi-agent RL (MARL),2; 11; 67,3,A1.3,Multi-agent and distributed RL architectures,M1,Value & Policy Optimization Methods,
Genetic Algorithm (GA),15; 36; 62,3,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,"MOVED from M8: used as a search/optimizer, not population selection."
Hill Climbing,43,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Investment Optimization,23,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Latency Optimization,56,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Micro-level Optimization,48,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Monte Carlo,58,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Multi-objective Decision,42,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Multi-scale Optimization,7,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
OCBA,42,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,Optimal Computing Budget Allocation.
Portfolio Optimization,39,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Price Stabilization,42,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,Objective function.
Price-Density Optimization,59,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Profit Maximization,63,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,Objective function.
Simulated Annealing,8,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Spatial Optimization,62,1,A1.4,Metaheuristic and numerical optimization,M1,Value & Policy Optimization Methods,
Actor-Critic,1; 4,2,A2.1,Canonical actor-critic,M2,Hybrid Actor-Critic Methods,
A3C/A2C/IAsync,2; 44,2,A2.2,Asynchronous and parallel actor-critic,M2,Hybrid Actor-Critic Methods,
Continuous Concession,1,1,A2.3,Deterministic continuous-control actor-critic,M2,Hybrid Actor-Critic Methods,Continuous offer action learned by the actor.
DDPG,40,1,A2.3,Deterministic continuous-control actor-critic,M2,Hybrid Actor-Critic Methods,
