Study,Title,Year,Agent Constructed,Agent-Agent Interactions,Agent-Environment Interactions ,Environment,Decision-Making & Actions,Observations,Evaluation and Validation Techniques,Limitation and Challenges,Domain,M-Labels,V-Labels,L-Label
1,A deep reinforcement learning approach to concurrent bilateral negotiation,2020,Buyer agent negotiates concurrently with multiple seller agents,One-to-many bilateral negotiations,Dynamic e-market,Simulated e-market,Actor–critic DRL + supervised pre-training,"Dialogue histories, opponent features",Uavg = Average utility (buyer profit in successful deals) Tavg = Average negotiation time (ms) S% = Success rate (agreement %),"Opponents: fixed-but-unknown sellers; no adaptive dynamics.
Data realism: SL relies on synthetic datasets (no real negotiation traces).",auction,"M2, M9",V13,"L4, L8"
2,Intelligent strategic bidding in competitive electricity markets using multi-agent simulation and deep reinforcement learning,2024,"Generator, buyer, ISO agents",Multi-agent bidding game,Market demand + clearing outcomes,MAS electricity market,DQN/DDQN/Async QL,"Price, demand, rewards","convergence, variation in demand and supply ratio Metrics - average winning price, total revenue, average bid price, market clearing price, time ",practical application is limited,housing,M1,"V7, V13",L3
3,Deep reinforcement learning in agent based financial market simulation,2020,DRL trader + FCN traders,Interact via LOB,Environment = order-book state,Price–order-book simulator,DRL trading policy,"Mid-price, order flow","1. Metrics: Average reward, Sharpe ratio, Maximum drawdown. 2. Benchmarks: CO-DRL, LV-DRL, random agent. 3. Validation: tested on unseen simulations for generalization. 4. Behavioral evaluation: capital curves, action probability distributions.","Historical data is limited 
",finance,"M1, M3","V4, V5, V10, V12, V13",L4
4,A reinforcement learning algorithm for Agent-based Computational Economics (ACE) model of electricity markets,2015,Generator/retailer agents,Strategic bidding,Market load + prices,ACE electricity simulator,Q-learning + AC-style RL,"Costs, clearing prices","Oligpolistic Competition - best performing among the algo - Price, Output, Profit Multi Agent competition Standard Deviation Test, SGD and SD Real World Data ",Supplier perspective,electricity,"M1, M2","V2, V10, V13",L1
5,A multi-agent model of urban processes: Modelling relocation processes and price setting in housing markets,2011,Household & dwelling agents,Search & bargaining,Market conditions feedback,Urban housing market,"Expected utility, probabilistic choice","Vacancy, prices","Simulation experiments with 600 households & dwellings. Tested robustness with 100 runs. Metrics: average/optimal utility, prices, vacancy, %wait, %sold. Sensitivity analyses: vacancy rates, risk profiles, thresholds."," Budget constraints simplified. 
 Bargaining = one-to-one (no auctions, limited bidding). 
 Computationally intensive.",housing,M6,"V7, V8, V13","L1, L6"
6,An agent-based model for designing a financial market that works well,2020,Trader agents,Buy/sell interactions,Rule & regulation feedback,Artificial market,Rule-based + scenario testing,Price rules,"Replicating stylized facts (volatility, fat tails, liquidity). Compare with market data (Tokyo SE, dark pools). Stress tests for regulations.","Outputs not accurate forecasts, difficult to evaluate
 Overfitting risk in complex models. 
 Hard parameter tuning. 
 Limited validation due to hidden fundamentals.",finance,M3,"V2, V5, V13","L2, L3, L7, L10"
7,Multiscale agent‐based consumer market modeling,2010,"Consumers, retailers, manufacturers",Exchange via supply chain,"Respond to promotions, pricing",Virtual market lab,Rule-based consumer/retailer/manufacturer actions,"POS data, inventory","Calibration/validation with Nielsen & IRI panel + scanner data. Over 60-step process: design/code walkthroughs, unit/system tests, manual tracing, acceptance thresholds (1–10%). Pilot studies with P&G business teams.","Not predictive of exact future market outcomes. 
 Very data-intensive. 
 Computationally heavy. 
 Limited to categories studied (e.g., detergent, dentifrice).",consumer,M3,"V1, V2, V11","L1, L3, L4, L6"
8,Agent-based modeling under partial and full knowledge learning settings to simulate financial markets,2012,Investor agents,Aggregate interactions,Time-series feedback,Artificial financial market,Learning via simulated annealing,Historical value signals,"two experimental setups: partial knowledge learning and full knowledge learning. Historical datasets (Yahoo Finance, Dukascopy). Train/test splits across time periods. Metrics: Mean Absolute Percentage Error, MSE/Standard Error. ",tuning the model so that the simulated behavior approximate the observed one.,finance,M3,"V2, V12, V13",L7
9,"Agent-based urban land markets: agent's pricing behavior, land prices and urban land use change",2019,Buyers & sellers,Bargaining,Spatial externalities,Spatial ABM,Heuristic bargaining + pricing,Local prices & amenities,land rent gradients land rent gradients (via regressions) under different market power conditions.,"Assumptions about bargaining / power may not reflect real institutional constraints
Calibration may be limited by real-world data on bids/asks
Unclear generalizability to many cities or geographic settings",housing,"M3, M6","V3, V13","L3, L7, L8"
10,Evaluation of collaborative filtering by agent-based simulation considering market environment,2009,Consumers + recommender agent,Influence via similarity,EC marketplace,Online EC simulator,Weighted decision via CF,"Preferences, recommender scores","Metrics: Precision. Compared scenarios: clustered vs multi-cluster preferences, homogeneous vs heterogeneous purchasing, preference vs trend-chasing buyers. Multiple runs across parameter values.","Static consumer preferences; no dynamic evolution.
Computationally simplified vs real EC markets.",consumer,M9,"V9, V13","L1, L8"
